stationID	year	month	day	hour	temperature	relativeHumidity
Nakuru	2015	1	10	23	20	64
Nakuru	2015	1	11	0	19	59
Nakuru	2015	1	11	1	19	64
Nakuru	2015	1	11	2	17	72
Nakuru	2015	1	11	3	14	75
Nakuru	2015	1	11	4	14	82
Nakuru	2015	1	11	5	17	68
Nakuru	2015	1	11	6	19	48
Nakuru	2015	1	11	7	22	57
Nakuru	2015	1	11	8	23	41
Nakuru	2015	1	11	9	24	25
Nakuru	2015	1	11	10	26	34
Nakuru	2015	1	11	11	26	34
Nakuru	2015	1	11	12	27	19
Nakuru	2015	1	11	13	26	39
Nakuru	2015	1	11	14	25	39
Nakuru	2015	1	11	15	24	21
Nakuru	2015	1	11	16	23	36
Nakuru	2015	1	11	17	21	49
Nakuru	2015	1	11	18	20	40
Nakuru	2015	1	11	19	20	56
Nakuru	2015	1	11	20	20	60
Nakuru	2015	1	11	21	20	44
Nakuru	2015	1	11	22	19	56
Nakuru	2015	1	11	23	18	59
Nakuru	2015	1	12	0	16	59
Nakuru	2015	1	12	1	15	63
Nakuru	2015	1	12	2	15	63
Nakuru	2015	1	12	3	14	56
Nakuru	2015	1	12	4	14	67
Nakuru	2015	1	12	5	17	59
Nakuru	2015	1	12	6	19	41
Nakuru	2015	1	12	7	21.5	37.5
Nakuru	2015	1	12	8	24	34
Nakuru	2015	1	12	9	26	21
Nakuru	2015	1	12	10	27	28
Nakuru	2015	1	12	11	26	32
Nakuru	2015	1	12	12	26	18
Nakuru	2015	1	12	13	26	28
Nakuru	2015	1	12	14	26	30
Nakuru	2015	1	12	15	24	24
Nakuru	2015	1	12	16	23	36
Nakuru	2015	1	12	17	22	41
Nakuru	2015	1	12	18	21	35
Nakuru	2015	1	12	19	20	49
Nakuru	2015	1	12	20	19	52
Nakuru	2015	1	12	21	18	51
Nakuru	2015	1	12	22	17	63
Nakuru	2015	1	12	23	17	63
Nakuru	2015	1	13	0	14	68
Nakuru	2015	1	13	1	14	72
Nakuru	2015	1	13	2	13	77
Nakuru	2015	1	13	3	12	75
Nakuru	2015	1	13	4	11	88
Nakuru	2015	1	13	5	14	77
Nakuru	2015	1	13	6	18	50
Nakuru	2015	1	13	7	22	43
Nakuru	2015	1	13	8	23	41
Nakuru	2015	1	13	9	25	26
Nakuru	2015	1	13	10	26	23
Nakuru	2015	1	13	11	27	20
Nakuru	2015	1	13	12	28	13
Nakuru	2015	1	13	13	28	28
Nakuru	2015	1	13	14	27	28
Nakuru	2015	1	13	15	25	21
Nakuru	2015	1	13	16	23	33
Nakuru	2015	1	13	17	21	43
Nakuru	2015	1	13	18	21	35
Nakuru	2015	1	13	19	20	49
Nakuru	2015	1	13	20	18	59
Nakuru	2015	1	13	21	17	58
Nakuru	2015	1	13	22	17	68
Nakuru	2015	1	13	23	15	77
Nakuru	2015	1	14	0	14	63
Nakuru	2015	1	14	1	13	77
Nakuru	2015	1	14	2	13	77
Nakuru	2015	1	14	3	12	66
Nakuru	2015	1	14	4	10	76
Nakuru	2015	1	14	5	14	72
Nakuru	2015	1	14	6	17	48
Nakuru	2015	1	14	7	22	43
Nakuru	2015	1	14	8	24	36
Nakuru	2015	1	14	9	24	25
Nakuru	2015	1	14	10	27	26
Nakuru	2015	1	14	11	26	28
Nakuru	2015	1	14	12	27	23
Nakuru	2015	1	14	13	27	20
Nakuru	2015	1	14	14	27	20
Nakuru	2015	1	14	15	26	14
Nakuru	2015	1	14	16	23	29
Nakuru	2015	1	14	17	21	31
Nakuru	2015	1	14	18	20	23
Nakuru	2015	1	14	19	20	37
Nakuru	2015	1	14	20	18	42
Nakuru	2015	1	14	21	17	70
Nakuru	2015	1	14	22	16	72
Nakuru	2015	1	14	23	14	72
Nakuru	2015	1	15	0	12	45
Nakuru	2015	1	15	1	12	58
Nakuru	2015	1	15	2	11	58
Nakuru	2015	1	15	3	10	55
Nakuru	2015	1	15	4	9	66
Nakuru	2015	1	15	5	14	51
Nakuru	2015	1	15	6	17	32
Nakuru	2015	1	15	7	22	27
Nakuru	2015	1	15	8	25	21
Nakuru	2015	1	15	9	27	11
Nakuru	2015	1	15	10	27	20
Nakuru	2015	1	15	11	28	15
Nakuru	2015	1	15	12	29	7
Nakuru	2015	1	15	13	29	13
Nakuru	2015	1	15	14	28	15
Nakuru	2015	1	15	15	27	9
Nakuru	2015	1	15	16	26	24
Nakuru	2015	1	15	17	24	24
Nakuru	2015	1	15	18	22	14
Nakuru	2015	1	15	19	20	28
Nakuru	2015	1	15	20	18	49
Nakuru	2015	1	15	21	17	27
Nakuru	2015	1	15	22	17	37
Nakuru	2015	1	15	23	15	45
Nakuru	2015	1	16	0	13	51
Nakuru	2015	1	16	1	13	51
Nakuru	2015	1	16	2	12	51
Nakuru	2015	1	16	3	10	47
Nakuru	2015	1	16	4	11	58
Nakuru	2015	1	16	5	13	51
Nakuru	2015	1	16	6	19	40
Nakuru	2015	1	16	7	21	35
Nakuru	2015	1	16	8	26	18
Nakuru	2015	1	16	9	26	12
Nakuru	2015	1	16	10	26	24
Nakuru	2015	1	16	11	27	23
Nakuru	2015	1	16	12	28	13
Nakuru	2015	1	16	13	28	23
Nakuru	2015	1	16	14	28	21
Nakuru	2015	1	16	15	27	14
Nakuru	2015	1	16	16	25	26
Nakuru	2015	1	16	17	23	29
Nakuru	2015	1	16	18	22	18
Nakuru	2015	1	16	19	22	31
Nakuru	2015	1	16	20	19	40
Nakuru	2015	1	16	21	18	33
Nakuru	2015	1	16	22	16	48
Nakuru	2015	1	16	23	15	51
Nakuru	2015	1	17	0	14	37
Nakuru	2015	1	17	1	14	48
Nakuru	2015	1	17	2	13	50
Nakuru	2015	1	17	3	13	48
Nakuru	2015	1	17	4	13	58
Nakuru	2015	1	17	5	13	58
Nakuru	2015	1	17	6	18	56
Nakuru	2015	1	17	7	23	29
Nakuru	2015	1	17	8	25	21
Nakuru	2015	1	17	9	26	21
Nakuru	2015	1	17	10	27	18
Nakuru	2015	1	17	11	28	17
Nakuru	2015	1	17	12	28	12
Nakuru	2015	1	17	13	28	21
Nakuru	2015	1	17	14	28	21
Nakuru	2015	1	17	15	27	12
Nakuru	2015	1	17	16	27	12
Nakuru	2015	1	17	17	22	16
Nakuru	2015	1	17	18	22	27
Nakuru	2015	1	17	19	20	37
Nakuru	2015	1	17	20	18	45
Nakuru	2015	1	17	21	17	45
Nakuru	2015	1	17	22	15	55
Nakuru	2015	1	17	23	14	59
Nakuru	2015	1	18	0	13	63
Nakuru	2015	1	18	1	13	63
Nakuru	2015	1	18	2	12	62
Nakuru	2015	1	18	3	12	47
Nakuru	2015	1	18	4	10	71
Nakuru	2015	1	18	5	14	51
Nakuru	2015	1	18	6	17	36
Nakuru	2015	1	18	7	22	35
Nakuru	2015	1	18	8	26	28
Nakuru	2015	1	18	9	27	13
Nakuru	2015	1	18	10	27	21
Nakuru	2015	1	18	11	27	20
Nakuru	2015	1	18	12	28	13
Nakuru	2015	1	18	13	29	20
Nakuru	2015	1	18	14	29	20
Nakuru	2015	1	18	15	27	12
Nakuru	2015	1	18	16	25	26
Nakuru	2015	1	18	17	23	29
Nakuru	2015	1	18	18	23	23
Nakuru	2015	1	18	19	22	41
Nakuru	2015	1	18	20	22	31
Nakuru	2015	1	18	21	20	26
Nakuru	2015	1	18	22	19	43
Nakuru	2015	1	18	23	17	55
Nakuru	2015	1	19	0	16	51
Nakuru	2015	1	19	1	16	59
Nakuru	2015	1	19	2	15	63
Nakuru	2015	1	19	3	15	51
Nakuru	2015	1	19	4	15	63
Nakuru	2015	1	19	5	16	59
Nakuru	2015	1	19	6	20	34
Nakuru	2015	1	19	7	23	36
Nakuru	2015	1	19	8	25	28
Nakuru	2015	1	19	9	26	18
Nakuru	2015	1	19	10	27	26
Nakuru	2015	1	19	11	27	24
Nakuru	2015	1	19	12	27	16
Nakuru	2015	1	19	13	28	26
Nakuru	2015	1	19	14	26	30
Nakuru	2015	1	19	15	25	30
Nakuru	2015	1	19	16	25	26
Nakuru	2015	1	19	17	26	28
Nakuru	2015	1	19	18	25	26
Nakuru	2015	1	19	19	22	35
Nakuru	2015	1	19	20	21	38
Nakuru	2015	1	19	21	19	43
Nakuru	2015	1	19	22	19	52
Nakuru	2015	1	19	23	18	56
Nakuru	2015	1	20	0	16	54
Nakuru	2015	1	20	1	16	63
Nakuru	2015	1	20	2	15	72
Nakuru	2015	1	20	3	15	65
Nakuru	2015	1	20	4	14	77
Nakuru	2015	1	20	5	16	68
Nakuru	2015	1	20	6	18	53
Nakuru	2015	1	20	7	20	56
Nakuru	2015	1	20	8	24	38
Nakuru	2015	1	20	9	25	26
Nakuru	2015	1	20	10	26	32
Nakuru	2015	1	20	11	26	34
Nakuru	2015	1	20	12	25	24
Nakuru	2015	1	20	13	24	41
Nakuru	2015	1	20	14	22.8	45.8
Nakuru	2015	1	20	15	21.6	50.6
Nakuru	2015	1	20	16	20.4	55.4
Nakuru	2015	1	20	17	19.2	60.2
Nakuru	2015	1	20	18	18	65
Nakuru	2015	1	20	19	18	67.66666667
Nakuru	2015	1	20	20	18	70.33333333
Nakuru	2015	1	20	21	18	73
Nakuru	2015	1	20	22	18	77
Nakuru	2015	1	20	23	17	82
Nakuru	2015	1	21	0	16	78
Nakuru	2015	1	21	1	16	88
Nakuru	2015	1	21	2	15	94
Nakuru	2015	1	21	3	15	88
Nakuru	2015	1	21	4	15	88
Nakuru	2015	1	21	5	15	94
Nakuru	2015	1	21	6	18	66
Nakuru	2015	1	21	7	21	56
Nakuru	2015	1	21	8	24	38
Nakuru	2015	1	21	9	26	22
Nakuru	2015	1	21	10	27	32
Nakuru	2015	1	21	11	27	30
Nakuru	2015	1	21	12	27	23
Nakuru	2015	1	21	13	24	47
Nakuru	2015	1	21	14	20	64
Nakuru	2015	1	21	15	22	49
Nakuru	2015	1	21	16	20	68
Nakuru	2015	1	21	17	19	78
Nakuru	2015	1	21	18	19	63
Nakuru	2015	1	21	19	18	77
Nakuru	2015	1	21	20	18	77
Nakuru	2015	1	21	21	18	72
Nakuru	2015	1	21	22	17	82
Nakuru	2015	1	21	23	17	82
Nakuru	2015	1	22	0	15	69
Nakuru	2015	1	22	1	15	82
Nakuru	2015	1	22	2	14	94
Nakuru	2015	1	22	3	13	88
Nakuru	2015	1	22	4	12	88
Nakuru	2015	1	22	5	15	77
Nakuru	2015	1	22	6	19	61
Nakuru	2015	1	22	7	23	44
Nakuru	2015	1	22	8	24	44
Nakuru	2015	1	22	9	26	27
Nakuru	2015	1	22	10	27	32
Nakuru	2015	1	22	11	28	25
Nakuru	2015	1	22	12	28	19
Nakuru	2015	1	22	13	27	32
Nakuru	2015	1	22	14	26	34
Nakuru	2015	1	22	15	25	27
Nakuru	2015	1	22	16	23	41
Nakuru	2015	1	22	17	22	43
Nakuru	2015	1	22	18	22	30
Nakuru	2015	1	22	19	20	52
Nakuru	2015	1	22	20	19	60
Nakuru	2015	1	22	21	18	56
Nakuru	2015	1	22	22	17	68
Nakuru	2015	1	22	23	16	72
Nakuru	2015	1	23	0	16	62
Nakuru	2015	1	23	1	15	82
Nakuru	2015	1	23	2	14	88
Nakuru	2015	1	23	3	13	84
Nakuru	2015	1	23	4	12	94
Nakuru	2015	1	23	5	15	82
Nakuru	2015	1	23	6	17	63
Nakuru	2015	1	23	7	21	56
Nakuru	2015	1	23	8	23	47
Nakuru	2015	1	23	9	26	18
Nakuru	2015	1	23	10	27	28
Nakuru	2015	1	23	11	28	23
Nakuru	2015	1	23	12	28	11
Nakuru	2015	1	23	13	29	19
Nakuru	2015	1	23	14	29	18
Nakuru	2015	1	23	15	28	11
Nakuru	2015	1	23	16	25	26
Nakuru	2015	1	23	17	23	33
Nakuru	2015	1	23	18	22	33
Nakuru	2015	1	23	19	20	52
Nakuru	2015	1	23	20	19	56
Nakuru	2015	1	23	21	19	50
Nakuru	2015	1	23	22	17	63
Nakuru	2015	1	23	23	16	68
Nakuru	2015	1	24	0	15	68
Nakuru	2015	1	24	1	14	77
Nakuru	2015	1	24	2	14	77
Nakuru	2015	1	24	3	13	70
Nakuru	2015	1	24	4	13	77
Nakuru	2015	1	24	5	15.5	63.5
Nakuru	2015	1	24	6	18	50
Nakuru	2015	1	24	7	22	50
Nakuru	2015	1	24	8	24	34
Nakuru	2015	1	24	9	26	17
Nakuru	2015	1	24	10	27	24
Nakuru	2015	1	24	11	28	20
Nakuru	2015	1	24	12	28	10
Nakuru	2015	1	24	13	28	19
Nakuru	2015	1	24	14	27	20
Nakuru	2015	1	24	15	25	16
Nakuru	2015	1	24	16	23	29
Nakuru	2015	1	24	17	22	35
Nakuru	2015	1	24	18	21	25
Nakuru	2015	1	24	19	20	37
Nakuru	2015	1	24	20	18	52
Nakuru	2015	1	24	21	16	42
Nakuru	2015	1	24	22	16	55
Nakuru	2015	1	24	23	15	63
Nakuru	2015	1	25	0	15	50
Nakuru	2015	1	25	1	14	67
Nakuru	2015	1	25	2	14	67
Nakuru	2015	1	25	3	13	63
Nakuru	2015	1	25	4	10	82
Nakuru	2015	1	25	5	13	72
Nakuru	2015	1	25	6	17	56
Nakuru	2015	1	25	7	21	43
Nakuru	2015	1	25	8	23	29
Nakuru	2015	1	25	9	25	13
Nakuru	2015	1	25	10	27	12
Nakuru	2015	1	25	11	27	15
Nakuru	2015	1	25	12	28	8
Nakuru	2015	1	25	13	28	16
Nakuru	2015	1	25	14	27	20
Nakuru	2015	1	25	15	25	15
Nakuru	2015	1	25	16	22	35
Nakuru	2015	1	25	17	21	38
Nakuru	2015	1	25	18	20	26
Nakuru	2015	1	25	19	20	37
Nakuru	2015	1	25	20	19	43
Nakuru	2015	1	25	21	17	41
Nakuru	2015	1	25	22	17	52
Nakuru	2015	1	25	23	16	59
Nakuru	2015	1	26	0	15	49
Nakuru	2015	1	26	1	15	63
Nakuru	2015	1	26	2	13	72
Nakuru	2015	1	26	3	12	65
Nakuru	2015	1	26	4	10	76
Nakuru	2015	1	26	5	12	67
Nakuru	2015	1	26	6	18	37
Nakuru	2015	1	26	7	22	38
Nakuru	2015	1	26	8	23	31
Nakuru	2015	1	26	9	25	15
Nakuru	2015	1	26	10	25	21
Nakuru	2015	1	26	11	27	20
Nakuru	2015	1	26	12	27	11
Nakuru	2015	1	26	13	27	18
Nakuru	2015	1	26	14	27	17
Nakuru	2015	1	26	15	27	10
Nakuru	2015	1	26	16	25	19
Nakuru	2015	1	26	17	22	27
Nakuru	2015	1	26	18	20	19
Nakuru	2015	1	26	19	19	40
Nakuru	2015	1	26	20	18	42
Nakuru	2015	1	26	21	16	36
Nakuru	2015	1	26	22	14	59
Nakuru	2015	1	26	23	14	63
Nakuru	2015	1	27	0	13	52
Nakuru	2015	1	27	1	12	67
Nakuru	2015	1	27	2	12	72
Nakuru	2015	1	27	3	10	71
Nakuru	2015	1	27	4	10	71
Nakuru	2015	1	27	5	12	67
Nakuru	2015	1	27	6	17	42
Nakuru	2015	1	27	7	21	38
Nakuru	2015	1	27	8	22	41
Nakuru	2015	1	27	9	25	18
Nakuru	2015	1	27	10	26	24
Nakuru	2015	1	27	11	28	23
Nakuru	2015	1	27	12	29	8
Nakuru	2015	1	27	13	29	18
Nakuru	2015	1	27	14	29	20
Nakuru	2015	1	27	15	27	12
Nakuru	2015	1	27	16	25	26
Nakuru	2015	1	27	17	24	29
Nakuru	2015	1	27	18	23	20
Nakuru	2015	1	27	19	22	38
Nakuru	2015	1	27	20	19	52
Nakuru	2015	1	27	21	19	41
Nakuru	2015	1	27	22	18	59
Nakuru	2015	1	27	23	16	68
Nakuru	2015	1	28	0	15	61
Nakuru	2015	1	28	1	14	72
Nakuru	2015	1	28	2	12	77
Nakuru	2015	1	28	3	12	69
Nakuru	2015	1	28	4	12	77
Nakuru	2015	1	28	5	15	67
Nakuru	2015	1	28	6	18	43
Nakuru	2015	1	28	7	21	43
Nakuru	2015	1	28	8	24	34
Nakuru	2015	1	28	9	26	16
Nakuru	2015	1	28	10	27	24
Nakuru	2015	1	28	11	24	29
Nakuru	2015	1	28	12	28	14
Nakuru	2015	1	28	13	27	23
Nakuru	2015	1	28	14	28	21
Nakuru	2015	1	28	15	27	11
Nakuru	2015	1	28	16	25	26
Nakuru	2015	1	28	17	23	29
Nakuru	2015	1	28	18	23	15
Nakuru	2015	1	28	19	20	40
Nakuru	2015	1	28	20	19	49
Nakuru	2015	1	28	21	19	40
Nakuru	2015	1	28	22	18	56
Nakuru	2015	1	28	23	17	59
Nakuru	2015	1	29	0	15	52
Nakuru	2015	1	29	1	13	67
Nakuru	2015	1	29	2	12	72
Nakuru	2015	1	29	3	11	61
Nakuru	2015	1	29	4	11	76
Nakuru	2015	1	29	5	15	55
Nakuru	2015	1	29	6	18	44
Nakuru	2015	1	29	7	21	43
Nakuru	2015	1	29	8	23	33
Nakuru	2015	1	29	9	26	9
Nakuru	2015	1	29	10	28	14
Nakuru	2015	1	29	11	28	17
Nakuru	2015	1	29	12	29	8
Nakuru	2015	1	29	13	29	13
Nakuru	2015	1	29	14	29	14
Nakuru	2015	1	29	15	27	7
Nakuru	2015	1	29	16	25	34
Nakuru	2015	1	29	17	24	18
Nakuru	2015	1	29	18	22	12
Nakuru	2015	1	29	19	20	46
Nakuru	2015	1	29	20	19	43
Nakuru	2015	1	29	21	19	35
Nakuru	2015	1	29	22	18	49
Nakuru	2015	1	29	23	16	55
Nakuru	2015	1	30	0	14	56
Nakuru	2015	1	30	1	13	67
Nakuru	2015	1	30	2	12	67
Nakuru	2015	1	30	3	11	60
